greasy_count,rotten_count,nospecial_count,total_samples,epoch,stage
255,494,261,1010,1,1
277,471,262,1010,2,1
263,507,240,1010,3,1
264,492,254,1010,4,1
217,508,285,1010,5,1
238,516,256,1010,6,2
267,483,260,1010,7,2
254,487,269,1010,8,2
261,495,254,1010,9,2
269,482,259,1010,10,2
247,495,268,1010,11,2
229,513,268,1010,12,2
273,487,250,1010,13,2
220,542,248,1010,14,2
246,499,265,1010,15,2
267,514,229,1010,16,2
248,488,274,1010,17,2
256,519,235,1010,18,2
258,520,232,1010,19,2
275,482,253,1010,20,2
268,499,243,1010,21,2
253,505,252,1010,22,2
233,509,268,1010,23,2
252,503,255,1010,24,2
282,482,246,1010,25,2
249,518,243,1010,26,2
256,500,254,1010,27,2
240,521,249,1010,28,2
279,485,246,1010,29,2
243,521,246,1010,30,2
230,531,249,1010,31,2
271,474,265,1010,32,2
257,525,228,1010,33,2
260,506,244,1010,34,2
244,523,243,1010,35,2
